Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-89981,WR,Tee,Tee Higgins,Higgins,12.449999809265137,2,7400,LAR@CIN,CIN,LAR,,,,,,WR/FLEX
94070-27050,WR,Tyler,Tyler Lockett,Lockett,11.949999809265137,2,7300,CAR@SEA,SEA,CAR,,,,,,WR/FLEX
94070-69017,QB,Jordan,Jordan Love,Love,21.670000076293945,2,7300,NO@GB,GB,NO,,,,,,QB
94070-91598,RB,D'Andre,D'Andre Swift,Swift,13.199999809265137,2,7300,PHI@TB,PHI,TB,,,,,,RB/FLEX
94070-56018,WR,Deebo,Deebo Samuel,Samuel,13.949999809265137,2,7200,NYG@SF,SF,NYG,,,,,,WR/FLEX
94070-39829,WR,Mike,Mike Williams,Williams,9.550000190734863,2,7200,LAC@MIN,LAC,MIN,,,,,,WR/FLEX
94070-103564,WR,Garrett,Garrett Wilson,Wilson,13.600000381469727,2,7200,NE@NYJ,NYJ,NE,,,,,,WR/FLEX
94070-73273,RB,David,David Montgomery,Montgomery,12.649999618530273,2,7200,ATL@DET,DET,ATL,Q,Thigh,,,,RB/FLEX
94070-63336,QB,Joe,Joe Burrow,Burrow,9.779999732971191,2,7200,LAR@CIN,CIN,LAR,Q,Calf,,,,QB
94070-26483,QB,Geno,Geno Smith,Smith,16.100000381469727,2,7200,CAR@SEA,SEA,CAR,,,,,,QB
94070-61798,QB,Gardner,Gardner Minshew II,Minshew II,5.570000171661377,2,7100,IND@BAL,IND,BAL,,,,,,QB
94070-56250,WR,Terry,Terry McLaurin,McLaurin,9,2,7100,BUF@WAS,WAS,BUF,,,,,,WR/FLEX
94070-52442,RB,Joe,Joe Mixon,Mixon,10.149999618530273,2,7100,LAR@CIN,CIN,LAR,,,,,,RB/FLEX
94070-104433,RB,Kyren,Kyren Williams,Williams,21.200000762939453,2,7100,LAR@CIN,LAR,CIN,,,,,,RB/FLEX
94070-79970,WR,Cooper,Cooper Kupp,Kupp,18.211110432942707,9,7000,LAR@CIN,LAR,CIN,IR,Hamstring,,,,WR/FLEX
94070-104576,QB,Sam,Sam Howell,Howell,18.719999313354492,2,7000,BUF@WAS,WAS,BUF,,,,,,QB
94070-86278,QB,Desmond,Desmond Ridder,Ridder,15.390000343322754,2,7000,ATL@DET,ATL,DET,,,,,,QB
94070-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,8.050000190734863,2,7000,ATL@DET,DET,ATL,,,,,,RB/FLEX
94070-72731,RB,Josh,Josh Jacobs,Jacobs,7.75,2,7000,PIT@LV,LV,PIT,,,,,,RB/FLEX
94070-89675,RB,Jonathan,Jonathan Taylor,Taylor,12.03636308149858,11,7000,IND@BAL,IND,BAL,NA,Ankle,,,,RB/FLEX
94070-85607,QB,Brock,Brock Purdy,Purdy,15.770000457763672,2,7000,NYG@SF,SF,NYG,,,,,,QB
