Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94505-14225,QB,Andy,Andy Dalton,Dalton,23.540000915527344,1,6600,CAR@DET,CAR,DET,,,,,,QB
94505-53331,QB,Taylor,Taylor Heinicke,Heinicke,13.551111009385851,9,6500,HOU@ATL,ATL,HOU,,,,,,QB
94505-86278,QB,Desmond,Desmond Ridder,Ridder,11.34000015258789,4,6500,HOU@ATL,ATL,HOU,,,,,,QB
94505-24849,QB,Jameis,Jameis Winston,Winston,1.5199999809265137,2,6500,NO@NE,NO,NE,,,,,,QB
94505-103064,RB,Breece,Breece Hall,Hall,6.925000190734863,4,6500,NYJ@DEN,NYJ,DEN,,,,,,RB/FLEX
94505-110246,WR,George,George Pickens,Pickens,10.074999809265137,4,6500,BAL@PIT,PIT,BAL,,,,,,WR/FLEX
94505-40687,RB,James,James Conner,Conner,12.699999809265137,4,6500,CIN@ARI,ARI,CIN,,,,,,RB/FLEX
94505-45859,QB,Derek,Derek Carr,Carr,8.654999732971191,4,6500,NO@NE,NO,NE,Q,Shoulder - ac joint,,,,QB
94505-72776,RB,Alexander,Alexander Mattison,Mattison,10.149999618530273,4,6400,KC@MIN,MIN,KC,,,,,,RB/FLEX
94505-90584,QB,Mac,Mac Jones,Jones,13.979999542236328,4,6400,NO@NE,NE,NO,,,,,,QB
94505-86687,WR,Marquise,Marquise Brown,Brown,12.324999809265137,4,6400,CIN@ARI,ARI,CIN,,,,,,WR/FLEX
94505-139985,QB,Bailey,Bailey Zappe,Zappe,2.2799999713897705,1,6400,NO@NE,NE,NO,,,,,,QB
94505-38628,QB,Mitch,Mitch Trubisky,Trubisky,0.7200000286102295,1,6400,BAL@PIT,PIT,BAL,,,,,,QB
94505-92020,QB,Kenny,Kenny Pickett,Pickett,11.479999542236328,4,6400,BAL@PIT,PIT,BAL,,,,,,QB
94505-53303,RB,Matt,Matt Breida,Breida,5.300000190734863,4,6300,NYG@MIA,NYG,MIA,,,,,,RB/FLEX
94505-112745,WR,Drake,Drake London,London,7.525000095367432,4,6300,HOU@ATL,ATL,HOU,,,,,,WR/FLEX
94505-86243,QB,Will,Will Levis,Levis,,,6300,TEN@IND,TEN,IND,,,,,,QB
94505-70027,RB,Zack,Zack Moss,Moss,16.400000254313152,3,6300,TEN@IND,IND,TEN,,,,,,RB/FLEX
94505-60840,QB,Jake,Jake Browning,Browning,-0.10000000149011612,1,6300,CIN@ARI,CIN,ARI,,,,,,QB
94505-21948,QB,Ryan,Ryan Tannehill,Tannehill,11.079999923706055,4,6300,TEN@IND,TEN,IND,,,,,,QB
94505-87691,QB,Malik,Malik Willis,Willis,3.1914285932268416,7,6300,TEN@IND,TEN,IND,,,,,,QB
94505-53097,WR,Josh,Josh Reynolds,Reynolds,13.166666666666666,3,6300,CAR@DET,DET,CAR,Q,Groin,,,,WR/FLEX
94505-86055,RB,Dameon,Dameon Pierce,Pierce,8.725000381469727,4,6200,HOU@ATL,HOU,ATL,,,,,,RB/FLEX
94505-61798,QB,Gardner,Gardner Minshew II,Minshew II,8.073333104451498,3,6200,TEN@IND,IND,TEN,,,,,,QB
94505-40669,WR,Tyler,Tyler Boyd,Boyd,5.300000190734863,4,6200,CIN@ARI,CIN,ARI,,,,,,WR/FLEX
94505-61157,QB,Brett,Brett Rypien,Rypien,5.505000114440918,4,6200,PHI@LAR,LAR,PHI,,,,,,QB
94505-14377,QB,Tyrod,Tyrod Taylor,Taylor,0.2199999988079071,2,6100,NYG@MIA,NYG,MIA,,,,,,QB
94505-71845,RB,Miles,Miles Sanders,Sanders,8.850000381469727,4,6100,CAR@DET,CAR,DET,,,,,,RB/FLEX
94505-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.650000095367432,4,6100,TEN@IND,TEN,IND,,,,,,WR/FLEX
94505-25011,TE,Darren,Darren Waller,Waller,5.699999809265137,4,6100,NYG@MIA,NYG,MIA,,,,,,TE/FLEX
94505-91583,QB,Stetson,Stetson Bennett,Bennett,,,6100,PHI@LAR,LAR,PHI,IR,Illness,,,,QB
94505-90561,WR,Jerry,Jerry Jeudy,Jeudy,7.099999745686849,3,6100,NYJ@DEN,DEN,NYJ,,,,,,WR/FLEX
94505-60947,QB,Jarrett,Jarrett Stidham,Stidham,15.213333129882812,3,6100,NYJ@DEN,DEN,NYJ,,,,,,QB
94505-89628,QB,Davis,Davis Mills,Mills,13.101333618164062,15,6100,HOU@ATL,HOU,ATL,,,,,,QB
94505-40534,QB,Mike,Mike White,White,6.579999923706055,1,6100,NYG@MIA,MIA,NYG,,,,,,QB
94505-41562,QB,Nick,Nick Mullens,Mullens,3.190000057220459,4,6100,KC@MIN,MIN,KC,Q,Back,,,,QB
94505-29358,QB,Marcus,Marcus Mariota,Mariota,15.812307504507212,13,6100,PHI@LAR,PHI,LAR,,,,,,QB
94505-90813,QB,Clayton,Clayton Tune,Tune,,,6100,CIN@ARI,ARI,CIN,,,,,,QB
94505-8023,QB,Josh,Josh Johnson,Johnson,0.9300000071525574,2,6100,BAL@PIT,BAL,PIT,,,,,,QB
94505-14194,QB,Blaine,Blaine Gabbert,Gabbert,-0.8600000143051147,1,6100,KC@MIN,KC,MIN,,,,,,QB
94505-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,9.274999618530273,4,6100,NO@NE,NE,NO,Q,Thigh,,,,RB/FLEX
94505-85983,QB,Hendon,Hendon Hooker,Hooker,,,6100,CAR@DET,DET,CAR,IR,Knee - acl,,,,QB
94505-52342,QB,Will,Will Grier,Grier,,,6000,NO@NE,NE,NO,,,,,,QB
94505-89236,QB,James,James Blackman,Blackman,,,6000,NYG@MIA,MIA,NYG,,,,,,QB
94505-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.20000000298023224,2,6000,CAR@DET,DET,CAR,IR,Knee - acl,,,,QB
94505-105646,TE,Sam,Sam LaPorta,LaPorta,10.300000190734863,4,6000,CAR@DET,DET,CAR,,,,,,TE/FLEX
94505-45259,QB,Logan,Logan Woodside,Woodside,,,6000,HOU@ATL,ATL,HOU,,,,,,QB
