
Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95526-110883,PF/SF,Dean,Dean Wade,Wade,18.04999924,4400,NY@CLE,CLE,NY,,,,,,SF/PF,23.20,5.26,32.19
95526-84711,SG/SF,Grayson,Grayson Allen,Allen,18.43333308,4200,SA@PHO,PHO,SA,,,,,,SG/SF,21.50,5.13,31.15
95526-15590,C,Mason,Mason Plumlee,Plumlee,12.69999949,4200,ORL@LAC,LAC,ORL,,,,,,C,19.50,4.65,19.98
95526-97263,C/PF,Drew,Drew Eubanks,Eubanks,18.73333359,4100,SA@PHO,PHO,SA,,,,,,PF/C,18.10,4.41,18.18
95526-63126,SF/PF,Cedi,Cedi Osman,Osman,17.86666616,4000,SA@PHO,SA,PHO,,,,,,SF/PF,15.40,3.84,19.79
95526-14496,PG,Ricky,Ricky Rubio,Rubio,13.95000034,4000,NY@CLE,CLE,NY,O,Personal,,,,PG,0.00,0.00,0.00
95526-80811,SF/PF,Jonathan,Jonathan Isaac,Isaac,12.09999975,4000,ORL@LAC,ORL,LAC,,,,,,SF/PF,0.70,0.17,0.75
95526-157826,SG/SF,Quentin,Quentin Grimes,Grimes,11.59999975,3900,NY@CLE,NY,CLE,,,,,,SG/SF,15.60,4.00,25.45
95526-84681,SG/SF,Donte,Donte DiVincenzo,DiVincenzo,15.26666641,3900,NY@CLE,NY,CLE,,,,,,SG/SF,12.60,3.23,14.00
95526-171748,SF/SG,Malaki,Malaki Branham,Branham,14.66666667,3900,SA@PHO,SA,PHO,,,,,,SG/SF,12.40,3.18,16.56
95526-85238,SG/SF,Yuta,Yuta Watanabe,Watanabe,12.93333308,3900,SA@PHO,PHO,SA,,,,,,SG/SF,16.10,4.14,19.91
95526-110359,C,Goga,Goga Bitadze,Bitadze,6.300000191,3800,ORL@LAC,ORL,LAC,,,,,,C,0.00,0.00,0.04
95526-157805,SG,Brandon,Brandon Boston,Boston,9.695652174,3800,ORL@LAC,LAC,ORL,O,Quadriceps,,,,SG,0.00,0.00,0.07
95526-24544,SG,Gary,Gary Harris,Harris,15.59999975,3800,ORL@LAC,ORL,LAC,,,,,,SG,11.80,3.10,17.93
95526-84706,PG,Devonte',Devonte' Graham,Graham,15.19726061,3800,SA@PHO,SA,PHO,,,,,,PG,0.00,0.00,0.09
95526-110343,SF,Nassir,Nassir Little,Little,8.933333079,3700,SA@PHO,PHO,SA,,,,,,SF,13.80,3.74,17.82
