Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
96011-157907,SG/PG,Jalen,Jalen Green,Green,29.53750038,6500,DEN@HOU,HOU,DEN,,,,,,PG/SG,30.10,4.63,32.38
96011-157905,SG/PG,Josh,Josh Giddey,Giddey,25.63333299,6400,OKC@PHO,OKC,PHO,,,,,,PG/SG,30.90,4.83,28.54
96011-15860,PF/C,Draymond,Draymond Green,Green,27.85714286,6400,MIN@GS,GS,MIN,,,,,,PF/C,29.90,4.68,29.36
96011-9623,PG,Chris,Chris Paul,Paul,28.52999878,6300,MIN@GS,GS,MIN,,,,,,PG,29.00,4.61,27.58
96011-80815,PF/C,Zach,Zach Collins,Collins,30,6300,MIA@SA,SA,MIA,,,,,,PF/C,33.40,5.30,34.30
96011-171760,SF/SG,Jalen,Jalen Williams,Williams,28.24444411,6200,OKC@PHO,OKC,PHO,,,,,,SG/SF,29.40,4.74,33.46
96011-145489,PG,Killian,Killian Hayes,Hayes,27.31000061,6100,DET@CHI,DET,CHI,,,,,,PG,27.90,4.57,31.25
96011-171749,PG/PF,Jeremy,Jeremy Sochan,Sochan,25.08888923,6100,MIA@SA,SA,MIA,,,,,,PG/PF,27.50,4.50,29.70
96011-171767,PF,Jabari,Jabari Smith,Smith,25.27499962,6000,DEN@HOU,HOU,DEN,,,,,,PF,26.40,4.40,30.85
96011-158136,SF/SG,Austin,Austin Reaves,Reaves,26.74444411,6000,POR@LAL,LAL,POR,,,,,,SG/SF,25.10,4.18,32.79
96011-111273,SF/SG,Luguentz,Luguentz Dort,Dort,27.93333266,5900,OKC@PHO,OKC,PHO,,,,,,SG/SF,22.70,3.85,31.49
96011-145303,SG,Skylar,Skylar Mays,Mays,12.78571429,5900,POR@LAL,POR,LAL,,,,,,SG,32.90,5.57,34.44
96011-188425,C,Dereck,Dereck Lively,Lively,22.88750076,5800,DAL@NO,DAL,NO,,,,,,C,24.40,4.20,24.40
96011-9535,PG,Kyle,Kyle Lowry,Lowry,24.13333299,5800,MIA@SA,MIA,SA,,,,,,PG,29.90,5.15,33.83
96011-110326,PG,Coby,Coby White,White,24.55555556,5700,DET@CHI,CHI,DET,,,,,,PG,28.20,4.94,34.92
96011-110995,C/PF,Naz,Naz Reid,Reid,22.85000038,5700,MIN@GS,MIN,GS,GTD,Neck,,,,PF/C,24.90,4.37,22.92
96011-188427,PG,Marcus,Marcus Sasser,Sasser,20.56000061,5600,DET@CHI,DET,CHI,,,,,,PG,19.80,3.54,22.18
